Country,Income_classification
Wallis and Futuna,High-income countries
Martinique,High-income countries
Jersey,High-income countries
Guernsey,High-income countries
French Guiana,High-income countries
Mayotte,High-income countries
Vatican City,High-income countries
Saint Pierre and Miquelon,High-income countries
Venezuela,Upper-middle-income countries
Somaliland,Low-income countries
W. Sahara,Low-income countries
N. Cyprus,Low-income countries
Niue,Low-income countries
Cook Islands,Low-income countries
Tokelau,Low-income countries
Fr. S. Antarctic Lands,Low-income countries
Saint Barthelemy,High-income countries
French Guiana,High-income countries
