Country,Unemployment rate
Sudan,49.54
South Africa,33.5
Dijibouti,27.93
Eswatini,24.39
Palestine,24
Qatar,0.3
Faroe Islands,0.5
Cambodia,0.6
Niger,0.8
Malaysia,3.52
